,track_name,album,artist_name,release_date,duration_ms,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
0,Tite,AGO,Nana Benz du Togo,2023-06-16,291454,29,0.871,0.00936,0.505,3.21e-06,0.0672,-4.2,0.0615,130.282,0.674
1,Shella Verse,Shella Verse,Sammy Virji,2023-06-30,163934,57,0.662,0.00632,0.904,0.00219,0.114,-3.749,0.286,133.455,0.85
2,I Love The Reggay,Out Of Many - 50 Years Of Reggae Music,Various Artists,2012-07-30,161986,29,0.527,0.665,0.726,2.85e-06,0.138,-7.206,0.135,80.194,0.683
3,Early Morning,Troyka,Troyka,1970,233693,24,0.687,0.673,0.167,0.688,0.0589,-18.712,0.05,75.394,0.396
4,The First Time Ever I Saw Your Face - 2015 Remaster,Jack Orion,Bert Jansch,1966-09-01,105874,30,0.409,0.748,0.164,0.911,0.106,-16.91,0.119,201.343,0.244
5,Kitten Vika Ugly,Autumn Day LP,Lazzich,2023-03-31,94686,22,0.386,0.904,0.153,0.788,0.108,-22.125,0.0297,162.909,0.0695
6,VOLVER,DATA,Tainy,2023-06-29,185806,80,0.745,0.0306,0.887,0.00224,0.245,-2.75,0.0437,155.041,0.722
7,No Services,"Darkness, Darkness / No Services",Kieran Hebden,2023-06-30,435695,32,0.229,0.985,0.0333,0.84,0.0812,-28.217,0.033,129.755,0.0687
8,"ECHOES: I see your eye, part 1",Echoes,Fire! Orchestra,2023-04-14,586156,31,0.667,0.194,0.334,0.671,0.111,-11.963,0.0275,112.895,0.498
9,CMD,Crystal Vision,Nathan Fake,2023-04-07,194200,27,0.344,0.986,0.173,0.899,0.111,-18.536,0.0321,64.808,0.0408
10,Hypnotise - Autechres Slow Mix,The Widescreen Versions,Various Artists,1998-07-20,347466,23,0.69,0.00315,0.816,0.868,0.0746,-12.374,0.0702,156.14,0.677
11,Dancing With Faeries,Dancing With Faeries,Gwairoch,2023-03-26,263783,30,0.846,0.0659,0.586,0.409,0.281,-9.848,0.0514,111.004,0.582
12,Ackee,orbs,Anthony Naples,2023-06-02,282117,33,0.396,0.734,0.29,0.941,0.155,-24.237,0.0417,124.714,0.313
13,B2,Soundhack 1,Soundhack,1997,299224,21,0.881,7.64e-06,0.955,0.945,0.0911,-11.027,0.0825,127.88,0.238
14,In The Yuma (feat. Aatig) [Four Tet Remix],In The Yuma (feat. Aatig) [Four Tet Remix],Chris Lake,2023-06-09,289171,46,0.817,0.00391,0.784,0.922,0.0885,-5.011,0.102,127.052,0.359
15,Yum - Jon Casey Edit,Okay / Yum,Hamdi,2023-01-06,146024,30,0.59,0.0417,0.585,0.209,0.37,-8.657,0.927,166.113,0.332
16,Nothingness,Get In The Bin,Chloé Robinson,2023-02-24,294000,24,0.794,0.000145,0.625,0.917,0.146,-10.561,0.054,135.005,0.0608
17,Toc - Instrumental,Estudando o samba,Tom Zé,1976-01-01,179826,28,0.744,0.549,0.755,0.793,0.171,-7.152,0.0444,141.101,0.367
18,Harmonics - Remastered,Happiness (Anniversary Edition),Fridge,2023-05-26,239641,23,0.665,0.473,0.262,0.785,0.0468,-17.132,0.0794,185.157,0.155
19,Long Singing - Remastered,Happiness (Anniversary Edition),Fridge,2023-05-26,552475,23,0.715,0.118,0.553,8.38e-05,0.094,-6.906,0.0392,114.137,0.778
20,"Darkness, Darkness","Darkness, Darkness",Kieran Hebden,2023-05-16,607922,34,0.382,0.548,0.773,0.814,0.225,-8.29,0.0579,94.893,0.377
21,Pause,Secret Life,Fred again..,2023-05-05,143133,54,0.0955,0.986,0.00357,0.835,0.0906,-38.237,0.0577,171.413,0.0334
22,Pop 2,Pop,GAS,2000,513186,35,0.163,0.935,0.0588,0.961,0.098,-20.266,0.045,112.848,0.145
23,Strobe,Strobe,Anthony Naples,2023-05-19,259917,25,0.755,0.851,0.433,0.892,0.468,-15.374,0.0307,114.999,0.646
24,"Live At The Sahara Tahoe, 1973",Featuring The Dramatics,Farben,1999-05-01,435280,20,0.871,0.202,0.715,0.00832,0.118,-6.042,0.189,119.954,0.603
25,Fenlow - Haze 2011 Dub,Late Night Collobs,Various Artists,2011-01-24,430080,0,0.807,0.00163,0.825,0.918,0.072,-9.603,0.0444,124.994,0.442
26,Jupiters - Happa Remix,Pink Remixes,Four Tet,2012,395861,24,0.794,0.0395,0.74,0.864,0.134,-8.58,0.063,127.004,0.166
27,Arla Fearn,Good Lies,Overmono,2023-05-12,284434,46,0.462,0.523,0.709,0.921,0.109,-6.279,0.0983,139.001,0.277
28,Toast,Dismantled Into Juice,Blawan,2023-05-17,161440,28,0.73,0.00768,0.623,0.787,0.106,-6.595,0.11,92.993,0.36
29,From Within,The Three Faces Of Yusef Lateef,Yusef Lateef,1992-01-01,252200,17,0.354,0.907,0.195,0.854,0.11,-19.962,0.046,88.168,0.104
30,Chest,Secret Life,Fred again..,2023-05-05,295382,50,0.159,0.919,0.105,0.935,0.0946,-23.059,0.0381,67.466,0.0769
31,Cut Up Piano & Xylophone - Remastered,Cut Up Piano & Xylophone (Anniversary Edition),Fridge,2023-05-01,154696,19,0.553,0.956,0.394,0.922,0.338,-16.316,0.0673,106.291,0.618
32,Radio,Secret Life,Fred again..,2023-05-05,244676,55,0.447,0.553,0.0839,0.877,0.0998,-28.241,0.0552,108.32,0.0381
33,Three Drums,Three Drums,Four Tet,2023-04-26,495858,54,0.169,0.149,0.44,0.169,0.126,-10.385,0.0277,95.896,0.113
34,Enough,Secret Life,Fred again..,2023-05-05,322499,60,0.15,0.936,0.208,0.755,0.218,-16.901,0.0409,85.706,0.0759
35,Five Four Child Voice - Remastered,Five Four Child Voice (Remastered),Fridge,2023-04-04,561791,18,0.34,0.188,0.459,0.569,0.187,-12.145,0.0384,77.848,0.183
36,Silas,Silas,Anthony Naples,2023-04-13,386000,24,0.479,0.514,0.383,0.892,0.106,-16.453,0.0386,217.744,0.297
37,Studying Water,8720923169722,Pandit Pam Pam,2023-03-24,236279,14,0.225,0.987,0.243,0.926,0.112,-14.353,0.0404,81.144,0.0332
38,Calling,Calling,Static Cosmonaut,2023-03-31,231818,21,0.641,0.0802,0.432,0.413,0.0853,-10.224,0.163,175.858,0.248
39,Nothing Left To Lose - Four Tet Remix,Nothing Left To Lose (Remixes),Everything But The Girl,2023-03-29,273764,36,0.868,0.027,0.618,0.137,0.111,-7.445,0.154,127.993,0.694
40,Peach,Peach,salute,2023-03-31,345310,57,0.866,0.0115,0.668,0.889,0.238,-7.472,0.0969,135.009,0.657
41,"Paris, Texas (feat. SYML)",Did you know that there's a tunnel under Ocean Blvd,Lana Del Rey,2023-03-24,206722,77,0.315,0.985,0.102,0.0512,0.109,-17.621,0.034,169.69,0.185
42,In The End You'll Know,In The End You'll Know,James Holden,2023-03-22,387700,22,0.34,0.273,0.74,0.924,0.0974,-13.276,0.0589,124.477,0.0876
43,Miracle (with Ellie Goulding) - Church Version,Miracle (with Ellie Goulding) [Church Version],Calvin Harris,2023-03-31,164608,56,0.244,0.883,0.232,0.0985,0.112,-14.25,0.0367,138.59,0.0551
44,Baby again..,Baby again..,Fred again..,2023-03-17,319963,73,0.847,0.00355,0.724,0.00339,0.0731,-7.668,0.047,126.983,0.326
45,Parallel 6,Parallel,Four Tet,2020-12-25,306970,50,0.711,0.66,0.635,0.96,0.194,-13.168,0.0537,124.034,0.646
46,Climax,Looking 4 Myself (Expanded Edition),Usher,2012-06-12,232906,63,0.647,0.547,0.478,2.69e-05,0.156,-8.837,0.0782,135.877,0.333
47,Simmm,Quaristice,Autechre,2008-03-03,300013,18,0.644,0.0514,0.757,0.909,0.105,-11.574,0.0544,132.964,0.423
48,disko June,Minimal Cuts II,Buttechno,2023-03-10,290081,22,0.799,0.00148,0.585,0.878,0.103,-11.773,0.0535,131.984,0.909
49,Fluff Rehab,"Lost & Found EP, Vol. 2",Kerri Chandler,2023-03-03,506000,27,0.811,7.9e-06,0.917,0.889,0.0835,-8.539,0.0578,126.03,0.124
50,Rivers Become Oceans,Lo and LOAF Presents: Sounds in Search of Ears,Various Artists,2009-12-07,472080,17,0.886,0.0034,0.917,0.511,0.0778,-4.222,0.0638,120.39,0.517
