,track_name,album,artist_name,release_date,duration_ms,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
0,Cruel Summer,Lover,Taylor Swift,2019-08-23,178426,99,0.552,0.117,0.702,2.06e-05,0.105,-5.707,0.157,169.994,0.564
1,I'm Good (Blue),I'm Good (Blue),David Guetta,2022-08-26,175238,94,0.561,0.00383,0.965,7.07e-06,0.371,-3.673,0.0343,128.04,0.304
2,Toxic,In The Zone,Britney Spears,2003-11-13,198800,85,0.774,0.0249,0.838,0.025,0.242,-3.914,0.114,143.04,0.924
3,I Ain't Worried,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",OneRepublic,2022-05-13,148485,93,0.704,0.0826,0.797,0.000745,0.0546,-5.927,0.0475,139.994,0.825
4,Blinding Lights,After Hours,The Weeknd,2020-03-20,200040,92,0.514,0.00146,0.73,9.54e-05,0.0897,-5.934,0.0598,171.005,0.334
5,Yellow,Parachutes,Coldplay,2000-07-10,266773,92,0.429,0.00239,0.661,0.000121,0.234,-7.227,0.0281,173.372,0.285
6,As It Was,As It Was,Harry Styles,2022-03-31,167303,91,0.52,0.342,0.731,0.00101,0.311,-5.338,0.0557,173.93,0.662
7,Flowers,Endless Summer Vacation,Miley Cyrus,2023-03-10,200600,91,0.707,0.0632,0.681,5.15e-06,0.0322,-4.325,0.0668,117.999,0.646
8,Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,2019-05-17,182160,91,0.501,0.751,0.405,0.0,0.105,-5.679,0.0319,109.891,0.446
9,Nonsense,emails i can't send,Sabrina Carpenter,2022-07-15,163648,90,0.74,0.0268,0.697,0.0,0.224,-4.912,0.034,138.992,0.732
10,Locked out of Heaven,Unorthodox Jukebox,Bruno Mars,2012-12-07,233478,89,0.726,0.049,0.698,0.0,0.309,-4.165,0.0431,143.994,0.867
11,Every Breath You Take,Synchronicity (Remastered 2003),The Police,1983-06-17,253920,89,0.82,0.543,0.452,0.00294,0.0714,-9.796,0.0348,117.401,0.74
12,Take on Me,Hunting High and Low,a-ha,1985-06-01,225280,89,0.573,0.018,0.902,0.00125,0.0928,-7.638,0.054,84.412,0.876
13,Viva La Vida,Viva La Vida or Death and All His Friends,Coldplay,2008-05-26,242373,89,0.486,0.0954,0.617,3.23e-06,0.109,-7.115,0.0287,138.015,0.417
14,Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),Sam Smith,2022-09-22,156943,89,0.714,0.013,0.472,4.51e-06,0.266,-7.375,0.0864,131.121,0.238
15,Wake Me Up,True,Avicii,2013-01-01,247426,88,0.532,0.0038,0.783,0.0012,0.161,-5.697,0.0523,124.08,0.643
16,Watermelon Sugar,Fine Line,Harry Styles,2019-12-13,174000,90,0.548,0.122,0.816,0.0,0.335,-4.209,0.0465,95.39,0.557
17,One Kiss (with Dua Lipa),One Kiss (with Dua Lipa),Calvin Harris,2018-04-06,214846,88,0.791,0.037,0.862,2.19e-05,0.0814,-3.24,0.11,123.994,0.592
18,Ghost,Justice,Justin Bieber,2021-03-19,153190,88,0.601,0.185,0.741,2.91e-05,0.415,-5.569,0.0478,153.96,0.441
19,Thunder,Evolve,Imagine Dragons,2017-06-23,187146,88,0.605,0.00671,0.822,0.134,0.147,-4.833,0.0438,167.997,0.288
20,A Sky Full of Stars,Ghost Stories,Coldplay,2014-05-19,267866,88,0.545,0.00617,0.675,0.00197,0.209,-6.474,0.0279,124.97,0.162
21,Something Just Like This,Memories...Do Not Open,The Chainsmokers,2017-04-07,247160,88,0.617,0.0498,0.635,1.44e-05,0.164,-6.769,0.0317,103.019,0.446
22,There's Nothing Holdin' Me Back,Illuminate (Deluxe),Shawn Mendes,2017-04-20,199440,88,0.866,0.38,0.813,0.0,0.0779,-4.063,0.0554,121.998,0.969
23,deja vu,SOUR,Olivia Rodrigo,2021-05-21,215506,88,0.442,0.584,0.612,5.7e-06,0.37,-7.222,0.112,180.917,0.178
24,Say You Won't Let Go,Back from the Edge,James Arthur,2016-10-28,211466,88,0.358,0.695,0.557,0.0,0.0902,-7.398,0.059,85.043,0.494
25,Mr. Brightside,Hot Fuss,The Killers,2004,222973,88,0.352,0.00121,0.911,0.0,0.0995,-5.23,0.0747,148.033,0.236
26,Livin' On A Prayer,Slippery When Wet,Bon Jovi,1986-08-16,249293,88,0.532,0.0778,0.887,0.000214,0.294,-3.757,0.0335,122.511,0.795
27,Shivers,=,Ed Sheeran,2021-10-29,207853,88,0.788,0.281,0.859,0.0,0.0424,-2.724,0.0856,141.02,0.822
28,Cold Heart - PNAU Remix,Cold Heart (PNAU Remix),Elton John,2021-08-13,202735,87,0.796,0.034,0.798,4.19e-05,0.0952,-6.312,0.0317,116.032,0.942
29,All of Me,Love In The Future (Expanded Edition),John Legend,2013-08-30,269560,87,0.422,0.922,0.264,0.0,0.132,-7.064,0.0322,119.93,0.331
30,Treat You Better,Illuminate,Shawn Mendes,2017-04-20,187973,87,0.444,0.106,0.819,0.0,0.107,-4.078,0.341,82.695,0.747
31,Africa,Toto IV,TOTO,1982-04-08,295893,87,0.671,0.257,0.373,8.01e-05,0.0481,-18.064,0.0323,92.718,0.732
32,Bones,Mercury - Acts 1 & 2,Imagine Dragons,2022-07-01,165264,87,0.772,0.0201,0.75,0.0,0.074,-3.67,0.0455,114.061,0.587
33,Before You Go,Divinely Uninspired To A Hellish Extent (Extended Edition),Lewis Capaldi,2019-11-22,215106,87,0.459,0.604,0.575,0.0,0.0885,-4.858,0.0573,111.881,0.183
34,Made You Look,Takin' It Back,Meghan Trainor,2022-10-21,134256,87,0.838,0.345,0.525,1.92e-06,0.0771,-3.562,0.0665,144.981,0.884
35,Love Yourself,Purpose (Deluxe),Justin Bieber,2015-11-13,233720,87,0.609,0.835,0.378,0.0,0.28,-9.828,0.438,100.418,0.515
36,Too Good At Goodbyes,The Thrill Of It All (Special Edition),Sam Smith,2017-11-03,201000,86,0.681,0.64,0.372,0.0,0.169,-8.237,0.0432,91.873,0.476
